facility_id,facility_name,crowd_level,conditions,n_conditions,risk_score,risk_level,risk_icon,p_emergency,p_sev_경증,p_sev_중등증,p_sev_중증,staff,equipment,actions,escalation,fac_note
F01,오토캠핑장A,여유,야간|폭염,2,0.0423,관찰,🔵,0.028,0.5959,0.0292,0.3748,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,폭염|피크타임,2,0.0471,관찰,🔵,0.028,0.3419,0.0913,0.5668,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|한파,2,0.041,관찰,🔵,0.028,0.2535,0.6688,0.0777,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|우천,2,0.0365,관찰,🔵,0.028,0.7006,0.2786,0.0208,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|우천,2,0.0351,관찰,🔵,0.028,0.8898,0.0727,0.0375,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|피크타임,2,0.0375,관찰,🔵,0.028,0.7231,0.1656,0.1113,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|한파,2,0.1541,위험,🔴,0.0969,0.1725,0.5412,0.2863,대응팀장 1명 + 응급처치 요원 2명 이상,"AED, 들것, 응급의약품, 무전기, 안전펜스","응급 대응팀 즉시 현장 파견 | 응급 장비 준비 (AED, 들것, 응급의약품 키트) | 방문객 안전구역 유도 및 해당 시설 일시 폐쇄 검토 | 119 사전 연락 및 대기 지시 | 관리자·시설장 즉시 보고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",P(중증) > 0.30 → 119 즉시 출동 요청 / 의식 불명 → 헬기 이송 검토,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|한파,2,0.1497,주의,🟡,0.0969,0.2534,0.5027,0.244,예방 모니터 1명 + 대기 요원 1명,"구급함, 무전기, 음용수, 그늘막","예방 순찰 30분 간격 강화 | 응급 대응 장비 위치·작동 상태 점검 | 고위험 방문객 (노약자·어린이·임산부) 적극 모니터링 | 기상 변화·밀도 실시간 확인 | 대기 인력 현장 근접 배치 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",이상 징후(쓰러짐·발열·외상) 발견 즉시 위험 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,피크타임|한파,2,0.1665,위험,🔴,0.0969,0.1764,0.2797,0.5439,대응팀장 1명 + 응급처치 요원 2명 이상,"AED, 들것, 응급의약품, 무전기, 안전펜스","응급 대응팀 즉시 현장 파견 | 응급 장비 준비 (AED, 들것, 응급의약품 키트) | 방문객 안전구역 유도 및 해당 시설 일시 폐쇄 검토 | 119 사전 연락 및 대기 지시 | 관리자·시설장 즉시 보고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",P(중증) > 0.30 → 119 즉시 출동 요청 / 의식 불명 → 헬기 이송 검토,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간,2,0.0381,관찰,🔵,0.028,0.5176,0.4518,0.0307,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|피크타임,2,0.04,관찰,🔵,0.028,0.4959,0.3564,0.1477,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|피크타임,2,0.036,관찰,🔵,0.028,0.8369,0.0949,0.0682,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|폭염|한파,3,0.0395,관찰,🔵,0.028,0.6967,0.0704,0.2329,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|우천|폭염,3,0.0395,관찰,🔵,0.028,0.6967,0.0704,0.2329,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|우천|폭염,3,0.0392,관찰,🔵,0.028,0.7455,0.012,0.2425,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|폭염|피크타임,3,0.0459,관찰,🔵,0.028,0.4047,0.08,0.5153,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|폭염|한파,3,0.0416,관찰,🔵,0.028,0.5852,0.093,0.3218,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|폭염|한파,3,0.0423,관찰,🔵,0.028,0.5959,0.0292,0.3748,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,폭염|피크타임|한파,3,0.0471,관찰,🔵,0.028,0.3419,0.0913,0.5668,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간|폭염,3,0.0423,관찰,🔵,0.028,0.5959,0.0292,0.3748,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|폭염|피크타임,3,0.0471,관찰,🔵,0.028,0.3419,0.0913,0.5668,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|폭염|피크타임,3,0.0423,관찰,🔵,0.028,0.5959,0.0292,0.3748,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|우천|한파,3,0.041,관찰,🔵,0.028,0.2535,0.6688,0.0777,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|우천|한파,3,0.0394,관찰,🔵,0.028,0.4936,0.398,0.1085,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|피크타임|한파,3,0.0431,관찰,🔵,0.028,0.3154,0.4207,0.2639,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간|우천,3,0.0355,관찰,🔵,0.028,0.809,0.172,0.019,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|우천|피크타임,3,0.0379,관찰,🔵,0.028,0.6603,0.2395,0.1002,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|우천|피크타임,3,0.0351,관찰,🔵,0.028,0.8898,0.0727,0.0375,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간|한파,3,0.1497,주의,🟡,0.0969,0.2534,0.5027,0.244,예방 모니터 1명 + 대기 요원 1명,"구급함, 무전기, 음용수, 그늘막","예방 순찰 30분 간격 강화 | 응급 대응 장비 위치·작동 상태 점검 | 고위험 방문객 (노약자·어린이·임산부) 적극 모니터링 | 기상 변화·밀도 실시간 확인 | 대기 인력 현장 근접 배치 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",이상 징후(쓰러짐·발열·외상) 발견 즉시 위험 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|피크타임|한파,3,0.1665,위험,🔴,0.0969,0.1764,0.2797,0.5439,대응팀장 1명 + 응급처치 요원 2명 이상,"AED, 들것, 응급의약품, 무전기, 안전펜스","응급 대응팀 즉시 현장 파견 | 응급 장비 준비 (AED, 들것, 응급의약품 키트) | 방문객 안전구역 유도 및 해당 시설 일시 폐쇄 검토 | 119 사전 연락 및 대기 지시 | 관리자·시설장 즉시 보고 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",P(중증) > 0.30 → 119 즉시 출동 요청 / 의식 불명 → 헬기 이송 검토,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|피크타임|한파,3,0.1497,주의,🟡,0.0969,0.2534,0.5027,0.244,예방 모니터 1명 + 대기 요원 1명,"구급함, 무전기, 음용수, 그늘막","예방 순찰 30분 간격 강화 | 응급 대응 장비 위치·작동 상태 점검 | 고위험 방문객 (노약자·어린이·임산부) 적극 모니터링 | 기상 변화·밀도 실시간 확인 | 대기 인력 현장 근접 배치 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",이상 징후(쓰러짐·발열·외상) 발견 즉시 위험 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간|피크타임,3,0.0381,관찰,🔵,0.028,0.5176,0.4518,0.0307,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|우천|폭염|한파,4,0.0395,관찰,🔵,0.028,0.6967,0.0704,0.2329,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,야간|우천|폭염|한파,4,0.0392,관찰,🔵,0.028,0.7455,0.012,0.2425,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,우천|폭염|피크타임|한파,4,0.0459,관찰,🔵,0.028,0.4047,0.08,0.5153,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [한파] 저체온증 위험 모니터링, 실내 대피 공간 운영, 동상 응급처치 키트 배치",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
F01,오토캠핑장A,여유,강풍|야간|우천|폭염,4,0.0392,관찰,🔵,0.028,0.7455,0.012,0.2425,순찰 요원 1명,"구급함, 무전기","일반 안전 순찰 60분 간격 유지 | 기상특보·예보 확인 | 방문객 밀도 추이 모니터링 | 비상 연락망 점검 | [폭염] 그늘·음용수 추가 배치, 열사병 집중 모니터링, 피크타임 야외 자제 권고 | [우천] 미끄러짐 주의 안내, 낙뢰 위험 시설 대피, 우천 장비 점검 | [강풍] 낙하물 위험 구역 통제, 야외 구조물·천막 긴급 점검 | [야간] 조명 확보 및 시야 불량 구역 안전선 설치, 야간 순찰 강화",기상특보 발령 또는 밀도 > 0.6 시 주의 단계 상향,야영장 — 장기 체류자 탈수·열사병 위험
